publisher,identifier 1,identifier 2,filename 1,filename 2,title,date_text,date_single/start,date_end,date_qualifier,creator 1,creator 2,contributor,abstract,abstract 2,note,note_2,subject1,subject2 1,subject3,subject4,subject5,coverage,rights 1,internet_media_type,item_type,form,form_authority,relation2,collection,collection_identifier,source 2,relation,digital_origin
"University of Tennessee Libraries, Knoxville",0012_003589_000201_0001,0012_003589_000201_0002,gsmrc-post_01_01,gsmrc-post_01_02,Black Bear; The Great Smoky Mountains National Park,1944-03-02,1944-03-02,,,"Standard News Agency, Knoxville, Tenn.",Unknown,,"Postcard with handwritten note sent from Knoxville to Miss Virginia Bogart, Loudon, Tennessee on March 2, 1944 for a postage of 1 cent.  ","The hardwood forest of America, and probably of the entire world, originated in the Great Smoky Mountains, where remains the nation's largest body of virgin hardwood forest, and the world's greatest variety of trees, flowering shrubs and wild flowers.",,,Black bears,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000202_0001,0012_003589_000202_0002,gsmrc-post_02_01,gsmrc-post_02_02,"Chalet Motel, Gatlinburg",Circa 1950s,1950,1959,approximate,"Harold Davis, Photographer",Unknown,,Unused postcard.,"Chalet Motel, Gatlinburg, Tennessee 37738;  Sunset Drive: Turn at Traffic Light #9 on Parkway.  A mountain vacation home with a view of the ""Smokies.""  Air conditioned, room phones, Color T.V., thermostatically controlled private pool, complimentary pool-side breakfast.  Open year 'round.",,,Hotels,Automobiles,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000244_0001,0012_003589_000244_0002,gsmrc-post_03_01,gsmrc-post_03_02,"Cherokee Indian Reservation, Great Smoky Mountains, North Carolina and Tennessee",Undated,1910,1955,inferred,"Standard News Agency, Knoxville, Tenn.",Unknown,,Unused postcard.,"Cherokee Indian Reservation on the eastern boundary of the Great Smoky Mountains National Park near Asheville, N. C., is the home to over 3,000 Indians of the Eastern Band of Cherokees who still pursue the ancient crafts and customs of their race.  The Indians are a principal attraction for visitors in the new national park.",Creation date inferred from archival collection dates.,,Qualla Boundary,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000245_0001,0012_003589_000245_0002,gsmrc-post_04_01,gsmrc-post_04_02,"Chimney Tops, Great Smoky Mountains National Park",Undated,1910,1955,inferred,"Harry N. Martin, Asheville, N.C.",Unknown,,Unused postcard.  ,"Chimney Tops, Alt. 4,755 ft.  The ""Chimneys"" in the Tennessee section of the Great Smoky Mountains National Park test the endurance of hardened mountain climbers.  The ruggedness cannot be appreciated until one climbs to the top.  Excellent views of Little Pigeon Gorge, the Loop-Over and many other awe-inspiring scenes may be seen from the tops.",Creation date inferred from archival collection dates.,,Chimney Tops,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000203_0001,0012_003589_000203_0002,gsmrc-post_05_01,gsmrc-post_05_02,"Duck Hawk Peak, The Most Spectacular Mountain Peak in the Great Smoky Mountains National Park",1946-09-04,1946-09-04,,,"W. M. Cline Co, Chattanooga, Tennessee",Unknown,,"Postcard with handwritten note sent from Loudon, Tennessee to Miss Norene Bogart, Knoxville on September 4, 1946 for a postage of 1 cent.  ",This Alpine looking peak is to be found in the Alum Cave section of the Smokies.  It affords the skilled mountain climber with one of the most spectacular climbs east of the Rocky Mountains.,,,Mount Le Conte,Peregrine Peak,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000204_0001,0012_003589_000204_0002,gsmrc-post_06_01,gsmrc-post_06_02,Early Morning Mists -- Great Smoky Mountains National Park,Undated,1910,1955,inferred,"W. M. Cline Co, Chattanooga, Tennessee",Unknown,,Unused postcard.,,Creation date inferred from archival collection dates.,,Climate,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000205_0000,,gsmrc-post_07_01,,"Edge Park Inn, Gatlinburg, Tenn.",Circa 1940s,1940,1949,approximate,Unknown,,,Postcard-sized image; reverse image: Park Headquarters and Administration Building -- Great Smoky Mountains National Park,"Gatlinburg, Tenn. is the Gateway to the Great Smoky Mountains National Park",,,Hotels,Tourism -- Gatlinburg,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000206_0000,,gsmrc-post_08_01,,"Newfound Gap Highway, as Seen from the Chimney Tops, Great Smoky Mountains National Park",Circa 1940s,1940,1949,approximate,"W. M. Cline Co, Chattanooga, Tennessee",,,Postcard-sized image; reverse image: Newfound Gap Parking Area and Laura Spelman Rockefeller Memorial,,,,Newfound Gap Highway/U.S. 441,Chimney Tops,,,,,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000207_0000,,gsmrc-post_09_01,,Park Headquarters and Administration Building -- Great Smoky Mountains National Park,Circa 1940s,1940,1949,approximate,"W. M. Cline Co, Chattanooga, Tennessee",,,"Postcard-sized image; reverse image: Edge Park Inn, Gatlinburg, Tenn.",,,,Great Smoky Mountains National Park Headquarters,,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
"University of Tennessee Libraries, Knoxville",0012_003589_000246_0001,0012_003589_000246_0002,gsmrc-post_10_01,gsmrc-post_10_02,"Rockefeller Memorial; Cumberland Gap, Great Smokies",Undated,1910,1955,inferred,"Standard News Agency, Knoxville, Tenn.",Unknown,,Unused postcard. Newfound Gap is erroneously identified as Cumberland Gap.,"Rockefeller Memorial at Cumberland Gap, Great Smoky Mountains National Park, Tenn.  The reading on the plaque is as follows: -For-The-Permanent-Enjoyment-Of-The-People-  This park was given one-half by the peoples and states of North Carolina and Tennessee and by the United States of America; and one-half in memory of Laura Spelman Rockefeller by the Laura Spelman Rockefeller Memorial Founded by her husband John D. Rockefeller.",Creation date inferred from archival collection dates.,,Laura Spelman Rockefeller Memorial,Newfound Gap,,,,Great Smoky Mountains,Public domain.,Image/jp2,still image,postcards,http://vocab.getty.edu/aat/300026816,http://digital.lib.utk.edu/smokiespostcards,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,"The University of Tennessee Libraries, Special Collections, Knoxville",,reformatted digital
