identifier 1,abstract,abstract 2,collection,collection_identifier,date_range_end,date_qualifier,date_single/start,date_text,digital_origin,filename 1,filename 2,form,identifier 2,internet_media_type,item_type,language,language_of_cataloging,name 1,name_role 1,name 2,name_role 2,name 3,name_role 3,note,note_2,place_of_origin,repository,series_title,title2,title2_part,project_url,project,rights,subject_topical 1 1,subject_topical 1 2,subject_topical 2 1,subject_topical 2 2,subject_topical 3,subject_name 1,subject_name 2,subject_geographic,subject_geographic 2 1,subject_geographic 2 2,subject_geographic 3 1,subject_geographic 3 2,subject_geographic 4 1,subject_geographic 4 2,subject_geographic 5 1,subject_geographic 5 2,genre,title,title_intial_article
0012_003589_000201_0001,"Postcard with handwritten note sent from Knoxville to Miss Virginia Bogart, Loudon, Tennessee on March 2, 1944 for a postage of 1 cent.","The hardwood forest of America, and probably of the entire world, originated in the Great Smoky Mountains, where remains the nation's largest body of virgin hardwood forest, and the world's greatest variety of trees, flowering shrubs and wild flowers.","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1944-03-02,1944-03-02,reformatted digital,gsmrc-post_01_01.jp2,gsmrc-post_01_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000201_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Black bear | http://id.loc.gov/authorities/subjects/sh85014524,Black bears | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,Black Bear; The Great Smoky Mountains National Park,
0012_003589_000202_0001,,"Chalet Motel, Gatlinburg, Tennessee 37738;  Sunset Drive: Turn at Traffic Light #9 on Parkway.  A mountain vacation home with a view of the ""Smokies.""  Air conditioned, room phones, Color T.V., thermostatically controlled private pool, complimentary pool-side breakfast.  Open year 'round.","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_02_01.jp2,gsmrc-post_02_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000202_0002,image/jp2,still image,eng,eng,"Davis, Harold",Photographer | http://id.loc.gov/vocabulary/relators/pht,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Hotels | http://id.loc.gov/authorities/subjects/sh85062487,Hotels | DOTS,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,"Chalet Motel, Gatlinburg",
0012_003589_000244_0001,,"Cherokee Indian Reservation on the eastern boundary of the Great Smoky Mountains National Park near Asheville, N. C., is the home to over 3,000 Indians of the Eastern Band of Cherokees who still pursue the ancient crafts and customs of their race.  The Indians are a principal attraction for visitors in the new national park.","Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_03_01.jp2,gsmrc-post_03_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000244_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,Unused postcard.,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Qualla Boundary | Coordinates: 35.5N, 83.2667W",Qualla Boundary | DOTS,,,,,,,,"Cherokee Indian Reservation, Great Smoky Mountains, North Carolina and Tennessee",
0012_003589_000245_0001,,"Chimney Tops, Alt. 4,755 ft.  The ""Chimneys"" in the Tennessee section of the Great Smoky Mountains National Park test the endurance of hardened mountain climbers.  The ruggedness cannot be appreciated until one climbs to the top.  Excellent views of Little Pigeon Gorge, the Loop-Over and many other awe-inspiring scenes may be seen from the tops.","Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_04_01.jp2,gsmrc-post_04_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000245_0002,image/jp2,still image,eng,eng,"Martin, Harry N.",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,Unused postcard.,Asheville (N.C.) | http://id.loc.gov/authorities/names/n79063971,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,,,,,,,,"Chimney Tops, Great Smoky Mountains National Park",
0012_003589_000203_0001,"Postcard with handwritten note sent from Loudon, Tennessee to Miss Norene Bogart, Knoxville on September 4, 1946 for a postage of 1 cent.",This Alpine looking peak is to be found in the Alum Cave section of the Smokies.  It affords the skilled mountain climber with one of the most spectacular climbs east of the Rocky Mountains.,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1946-09-04,1946-09-04,reformatted digital,gsmrc-post_05_01.jp2,gsmrc-post_05_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000203_0002,image/jp2,still image,eng,eng,W.M. Cline Company | URI: http://id.loc.gov/authorities/names/no2007054318,Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Peregrine Peak | Coordinates: 35.64009N, 83.44488W",Peregrine Peak | DOTS,"LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426N, 83.43683W",Mount Le Conte | DOTS,,,,,,"Duck Hawk Peak, The Most Spectacular Mountain Peak in the Great Smoky Mountains National Park",
0012_003589_000204_0001,,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_06_01.jp2,gsmrc-post_06_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000204_0002,image/jp2,still image,eng,eng,W.M. Cline Company | URI: http://id.loc.gov/authorities/names/no2007054318,Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Climate | http://id.loc.gov/authorities/subjects/sh85027036,Climate | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,Early Morning Mists -- Great Smoky Mountains National Park,
0012_003589_000205_0000,Postcard-sized image; reverse image: Park Headquarters and Administration Building -- Great Smoky Mountains National Park,"Gatlinburg, Tenn. is the Gateway to the Great Smoky Mountains National Park","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1949,approximate,1940,Circa 1940s,reformatted digital,gsmrc-post_07_01.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Hotels | http://id.loc.gov/authorities/subjects/sh85062487,Hotels | DOTS,Tourism--Gatlinburg,Tourism -- Gatlinburg | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,"Edge Park Inn, Gatlinburg, Tenn.",
0012_003589_000206_0000,Postcard-sized image; reverse image: Newfound Gap Parking Area and Laura Spelman Rockefeller Memorial,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1949,approximate,1940,Circa 1940s,reformatted digital,gsmrc-post_08_01.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,W.M. Cline Company | URI: http://id.loc.gov/authorities/names/no2007054318,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,,"Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,Newfound Gap Road,Newfound Gap Road/U.S. 441 | DOTS,,,,,,"Newfound Gap Highway, as Seen from the Chimney Tops, Great Smoky Mountains National Park",
0012_003589_000207_0000,"Postcard-sized image; reverse image: Edge Park Inn, Gatlinburg, Tenn.",,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1949,approximate,1940,Circa 1940s,reformatted digital,gsmrc-post_09_01.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,W.M. Cline Company | URI: http://id.loc.gov/authorities/names/no2007054318,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,Great Smoky Mountains National Park Headquarters,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,Park Headquarters and Administration Building -- Great Smoky Mountains National Park,
0012_003589_000246_0001,Unused postcard. Newfound Gap is erroneously identified as Cumberland Gap.,"Rockefeller Memorial at Cumberland Gap, Great Smoky Mountains National Park, Tenn.  The reading on the plaque is as follows: -For-The-Permanent-Enjoyment-Of-The-People-  This park was given one-half by the peoples and states of North Carolina and Tennessee and by the United States of America; and one-half in memory of Laura Spelman Rockefeller by the Laura Spelman Rockefeller Memorial Founded by her husband John D. Rockefeller.","Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_10_01.jp2,gsmrc-post_10_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000246_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,Laura Spelman Rockefeller Memorial | http://id.loc.gov/authorities/names/n89601522,Laura Spelman Rockefeller Memorial | DOTS,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Newfound Gap | Coordinates: 35.61121N, 83.42488W",Newfound Gap | DOTS,,,,,,,,"Rockefeller Memorial; Cumberland Gap, Great Smokies",
